content,title,address,roadaddress,latitude,longitude,score
관광지,민오름(오라동),제주특별자치도 제주시 오라2동 산 12,제주특별자치도 제주시 오라2동 산 12,33.476444,126.50659,17650
관광지,제주올레 2코스,제주특별자치도 서귀포시 성산읍 고성리 2563-3,제주특별자치도 서귀포시 성산읍 고성리 2563-3,33.43367,126.8973,17609
음식점,전원일기,제주특별자치도 서귀포시 서귀동 330-25,제주특별자치도 서귀포시 일주동로 8713,33.2523783,126.5576332,17595
음식점,산지물식당(건입동본점),제주특별자치도 제주시 임항로 26 (건입동),제주특별자치도 제주시 임항로 26 (건입동),33.516262,126.52756,17559
쇼핑,대정 오일시장[미공개],제주특별자치도 서귀포시 대정읍 하모리 1089-15,제주특별자치도 서귀포시 대정읍 신영로36번길 65,33.220516,126.2483125,17553
음식점,천해천,제주특별자치도 제주시 노형동 3813,제주특별자치도 제주시 한라대학로 25,33.483097,126.477234,17551
관광지,꽃썸,제주특별자치도 서귀포시 안덕면 동광리 950-3,서귀포시 안덕면 동광로 151,33.309093,126.339615,17509
음식점,오가네전복설렁탕,제주특별자치도 서귀포시 토평동 1284,제주특별자치도 서귀포시 중산간동로 7738,33.26826,126.58964,17482
관광지,서귀포 다이브센터,제주특별자치도 서귀포시 남원읍 하례리 64-11,제주특별자치도 서귀포시 남원읍 하례리 64-11,33.25918,126.63975,17454
음식점,신설오름,제주특별자치도 제주시 일도2동 409-5,제주특별자치도 제주시 고마로17길 2,33.50546,126.54163,17329
관광지,제주 더팔팔농장,제주특별자치도 서귀포시 성산읍 신산리 1371-1,제주특별자치도 서귀포시 성산읍 독자봉로60번길 20,33.38571,126.871056,17308
음식점,사형제횟집,제주특별자치도 제주시 한림읍 대림리 2015,제주특별자치도 제주시 한림읍 한림상로 273,33.422413,126.266396,17294
관광지,문도지오름 (문돗지),제주특별자치도 제주시 한림읍 금악리 3444,제주특별자치도 제주시 한림읍 금악리 3444,33.33229622,126.2520476,17292
음식점,그리운바다성산포,제주특별자치도 서귀포시 성산읍 성산리 360-10,제주특별자치도 서귀포시 성산읍 성산등용로 94,33.46976,126.93005,17287
음식점,쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14,제주특별자치도 서귀포시 중정로62번길 14,33.24659,126.562996,17285
관광지,한림바다체험마을,제주특별자치도 제주시 한림읍 한수리 879-30,제주특별자치도 제주시 한림읍 한림해안로 200,33.4197809,126.2628316,17282
음식점,기억나는집,제주특별자치도 서귀포시 서귀동 486-4,제주특별자치도 서귀포시 중앙로 6,33.245117,126.56229,17250
관광지,용연카누클럽,제주특별자치도 제주시 용담2동 438,제주특별자치도 제주시 용담2동 438,33.5156,126.5140267,17237
음식점,제주올레냉면 제주노형점,제주특별자치도 제주시 노형동 2466-1,제주특별자치도 제주시 광평동로 19,33.481808,126.47048,17224
음식점,키친오즈,제주시 한림읍 협재리 958-1,제주시 한림읍 협재로 208,33.38007,126.25113,17166
관광지,귀빈사,제주특별자치도 제주시 구좌읍 송당리 2438,제주특별자치도 제주시 구좌읍 비자림로 1456,33.4429016,126.7613249,17120
관광지,스쿠버스쿨,제주특별자치도 제주시 도두이동 1669-3,제주특별자치도 제주시 서해안로 301,33.5089684,126.4776764,17088
관광지,(주)제주해양레저 투명카약,제주특별자치도 제주시 애월읍 애월리 2490-1,제주특별자치도 제주시 애월읍 애월로1길 22,33.462353,126.31049,17082
관광지,뽀로로&타요 테마파크 제주,제주특별자치도 서귀포시 안덕면 상창리 79,제주특별자치도 서귀포시 안덕면 병악로 269,33.3009799,126.370942,16992
관광지,연북정,제주특별자치도 제주시 조천읍 조천리 2690,제주특별자치도 제주시 조천읍 조천리 2690,33.548126,126.64038,16874
관광지,오현단,제주특별자치도 제주시 이도1동 1421-3,제주특별자치도 제주시 오현길 61,33.510136,126.52562,16842
관광지,액티브파크,제주특별자치도 제주시 한림읍 금능리 2208-4,제주특별자치도 제주시 한림읍 금능남로 76,33.3598575,126.2460727,16820
관광지,간세공방,제주특별자치도 서귀포시 서귀동 316-1,제주특별자치도 서귀포시 중정로 22,33.247406,126.55873,16813
쇼핑,표선오일시장,제주특별자치도 서귀포시 표선면 표선리 1001-1,제주특별자치도 서귀포시 표선면 표선동서로 203-1,33.32252,126.83022,16802
관광지,서귀포층패류화석산지,제주특별자치도 서귀포시 서홍동 707,제주특별자치도 서귀포시 남성중로 43,33.23962511,126.5579874,16765
관광지,아라리오뮤지엄탑동시네마,제주특별자치도 제주시 삼도2동 1261-8,제주특별자치도 제주시 삼도2동 1261-8,33.51742,126.52344,16755
음식점,닐모리동동,제주특별자치도 제주시 서해안로 452,제주특별자치도 제주시 서해안로 452,33.517693,126.487625,16709
관광지,마원,제주특별자치도 제주시 조천읍 선흘리 2107-2,제주특별자치도 제주시 조천읍 선흘남4길 264-17,33.4593556,126.7033584,16674
관광지,허브동산 미디어 파사드 (media facade),제주특별자치도 서귀포시 표선면 돈오름로 170,제주특별자치도 서귀포시 표선면 돈오름로 170,33.32985,126.81486,16625
음식점,안거리밖거리,제주특별자치도 서귀포시 서귀동 584-3,제주특별자치도 서귀포시 솔동산로 6-1,33.244278,126.56415,16580
음식점,늘봄흑돼지,제주특별자치도 제주시 노형동 2343-3,제주특별자치도 제주시 한라대학로 12,33.4792895,126.4728779,16529
관광지,제주올레 21코스,제주특별자치도 제주시 구좌읍 하도리 3204-1,제주특별자치도 제주시 구좌읍 하도리 3204-1,33.523525,126.86349,16486
관광지,화조원,제주특별자치도 제주시 애월읍 납읍리 58,제주특별자치도 제주시 애월읍 애원로 804,33.4113881,126.3717903,16460
